FED_NUM,Riding Name,Party,Candidate,Vote %,Margin
10001,"Avalon",LPC,"Paul Connors",58.6,22.6
10002,"Cape Spear",LPC,"Tom Osborne",68.3,42.5
10003,"Central Newfoundland",CPC,"Clifford Small",54.1,10.5
10004,"Labrador",LPC,"Philip Earle",51.5,9.8
10005,"Long Range Mountains",CPC,"Carol Anstey",50.3,7.6
10006,"St. John's East",LPC,"Joanne Thompson",62.3,36.4
10007,"Terra Nova--The Peninsulas",CPC,"Jonathan Rowe",48.0,0.0
11001,"Cardigan",LPC,"Kent MacDonald",57.0,19.6
11002,"Charlottetown",LPC,"Sean Casey",64.8,35.6
11003,"Egmont",LPC,"Bobby Morrissey",51.9,8.5
11004,"Malpeque",LPC,"Heath MacDonald",57.6,21.0
12001,"Acadie--Annapolis",CPC,"Chris d'Entremont",47.7,1.1
12002,"Cape Breton--Canso--Antigonish",LPC,"Jaime Battiste",51.6,8.4
12003,"Central Nova",LPC,"Sean Fraser",51.9,9.2
12004,"Cumberland--Colchester",LPC,"Alana Hirtle",48.3,2.5
12005,"Dartmouth--Cole Harbour",LPC,"Darren Fisher",67.7,45.0
12006,"Halifax",LPC,"Shannon Miedema",63.0,44.0
12007,"Halifax West",LPC,"Lena Metlege Diab",65.6,38.4
12008,"Kings--Hants",LPC,"Kody Blois",60.6,27.1
12009,"Sackville--Bedford--Preston",LPC,"Braedon Clark",62.0,29.6
12010,"South Shore--St. Margarets",LPC,"Jessica Fancy-Landry",54.9,13.7
12011,"Sydney--Glace Bay",LPC,"Mike Kelloway",54.6,16.5
13001,"Acadie--Bathurst",LPC,"Serge Cormier",67.5,41.5
13002,"Beaus\u00e9jour",LPC,"Dominic LeBlanc",60.6,27.3
13003,"Fredericton--Oromocto",LPC,"David Myles",61.3,29.0
13004,"Fundy Royal",CPC,"Rob Moore",53.4,13.2
13005,"Madawaska--Restigouche",LPC,"Guillaume Desch\u00eanes-Th\u00e9riault",55.2,15.5
13006,"Miramichi--Grand Lake",CPC,"Mike Dawson",48.2,1.0
13007,"Moncton--Dieppe",LPC,"Ginette Petitpas Taylor",63.0,31.8
13008,"Saint John--Kennebecasis",LPC,"Wayne Long",58.1,20.8
13009,"Saint John--St. Croix",CPC,"John Williamson",53.1,11.6
13010,"Tobique--Mactaquac",CPC,"Richard Bragdon",58.8,22.9
24001,"Abitibi--Baie-James--Nunavik--Eeyou",LPC,"Mandy Gull-Masty",41.2,7.2
24002,"Abitibi--T\u00e9miscamingue",BQ,"S\u00e9bastien Lemire",49.4,22.4
24003,"Ahuntsic-Cartierville",LPC,"M\u00e9lanie Joly",61.0,44.1
24004,"Alfred-Pellan",LPC,"Angelo Iacono",54.6,33.6
24005,"Argenteuil--La Petite-Nation",LPC,"St\u00e9phane Lauzon",47.5,22.7
24006,"Beauce",CPC,"Jason Groleau",59.7,40.6
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon",BQ,"Claude Debellefeuille",43.9,11.8
24008,"Beauport--Limoilou",LPC,"Steeve Lavoie",35.6,5.5
24009,"B\u00e9cancour--Nicolet--Saurel--Aln\u00f4bak",BQ,"Louis Plamondon",47.0,19.7
24010,"Bellechasse--Les Etchemins--L\u00e9vis",CPC,"Dominique Vien",49.1,20.6
24011,"Beloeil--Chambly",BQ,"Yves-Fran\u00e7ois Blanchet",48.3,14.3
24012,"Berthier--Maskinong\u00e9",BQ,"Yves Perron",35.0,10.7
24013,"Bourassa",LPC,"Abdelhaq Sari",58.6,41.4
24014,"Brome--Missisquoi",LPC,"Louis Villeneuve",48.3,20.2
24015,"Brossard--Saint-Lambert",LPC,"Alexandra Mend\u00e8s",62.2,43.4
24016,"Charlesbourg--Haute-Saint-Charles",CPC,"Pierre Paul-Hus",42.4,7.8
24017,"Ch\u00e2teauguay--Les Jardins-de-Napierville",LPC,"Nathalie Provost",45.2,16.1
24018,"Chicoutimi--Le Fjord",CPC,"Richard Martel",34.1,2.9
24019,"Compton--Stanstead",LPC,"Marianne Dandurand",45.6,19.3
24020,"C\u00f4te-du-Sud-Rivi\u00e8re-du-Loup-Kataskomiq-T\u00e9miscouata",CPC,"Bernard G\u00e9n\u00e9reux",45.8,15.5
24021,"C\u00f4te-Nord--Kawawachikamach--Nitassinan",BQ,"Maril\u00e8ne Gill",43.7,16.3
24022,"Dorval--Lachine--LaSalle",LPC,"Anju Dhillon",59.4,38.7
24023,"Drummond",BQ,"Martin Champoux",42.8,14.4
24024,"Gasp\u00e9sie--Les \u00celes-de-la-Madeleine--Listuguj",BQ,"Alexis Desch\u00eanes",45.8,7.5
24025,"Gatineau",LPC,"Steven MacKinnon",60.5,41.4
24026,"Hochelaga--Rosemont-Est",LPC,"Marie-Gabrielle M\u00e9nard",46.1,19.0
24027,"Honor\u00e9-Mercier",LPC,"Eric St-Pierre",60.2,38.7
24028,"Hull--Aylmer",LPC,"Greg Fergus",62.1,45.2
24029,"Joliette--Manawan",BQ,"Gabriel Ste-Marie",49.3,18.0
24030,"Jonqui\u00e8re",BQ,"Mario Simard",40.0,9.7
24031,"La Pointe-de-l'\u00cele",BQ,"Mario Beaulieu",43.1,5.4
24032,"La Prairie--Atateken",LPC,"Jacques Ramsay",44.1,9.3
24033,"Lac-Saint-Jean",BQ,"Alexis Brunelle-Duceppe",46.2,20.0
24034,"Lac-Saint-Louis",LPC,"Francis Scarpaleggia",67.6,44.0
24035,"LaSalle--\u00c9mard--Verdun",LPC,"Claude Guay",50.9,29.6
24036,"Laurentides--Labelle",BQ,"Marie-H\u00e9l\u00e8ne Gaudreau",44.6,9.6
24037,"Laurier--Sainte-Marie",LPC,"Steven Guilbeault",52.1,33.3
24038,"Laval--Les \u00celes",LPC,"Fay\u00e7al El-Khoury",49.7,17.5
24039,"Les Pays-d'en-Haut",LPC,"Tim Watchorn",41.0,4.9
