fedNum,party,winner,total,majority,majPct,LPC_v25,LPC_p25,LPC_v21,LPC_p21,LPC_chg,LPC_cand,CPC_v25,CPC_p25,CPC_v21,CPC_p21,CPC_chg,CPC_cand,NDP_v25,NDP_p25,NDP_v21,NDP_p21,NDP_chg,NDP_cand,BQ_v25,BQ_p25,BQ_v21,BQ_p21,BQ_chg,BQ_cand,GPC_v25,GPC_p25,GPC_v21,GPC_p21,GPC_chg,GPC_cand,PPC_v25,PPC_p25,PPC_v21,PPC_p21,PPC_chg,PPC_cand,OTH_v25,OTH_p25,OTH_v21,OTH_p21,OTH_chg,OTH_cand
10001,LPC,Paul Connors,47030,10610,22.6,27563,58.6,18163,51.0,7.6,Paul Connors,16953,36.0,11788,33.1,3.0,Steve Kent,2284,4.9,5026,14.1,-9.3,Judy Vanta,,,,,,,,,,,,,,,644,1.8,,,230,0.5,,,0.5,
10002,LPC,Tom Osborne,45988,19544,42.5,31388,68.3,19368,54.7,13.6,Tom Osborne,11844,25.8,7179,20.3,5.5,Corey Curtis,2446,5.3,8248,23.3,-18.0,Brenda Walsh,,,,,,,140,0.3,,,0.3,Kaelem Tingate,,,628,1.8,,,170,0.4,,,0.4,
10003,CPC,Clifford Small **,40636,4279,10.5,17696,43.5,14646,46.0,-2.5,Lynette Powell,21975,54.1,14927,46.9,7.2,Clifford Small **,965,2.4,2261,7.1,-4.7,Darian Vincent,,,,,,,,,,,,,,,,,,,,,,,,
10004,LPC,Philip Earle,11284,1102,9.8,5811,51.5,4107,42.8,8.7,Philip Earle,4709,41.7,2914,30.3,11.4,Ella Wallace,764,6.8,2289,23.8,-17.1,Marius Normore,,,,,,,,,,,,,,,295,3.1,,,,,,,,
10005,CPC,Carol Anstey,46143,3506,7.6,19726,42.7,16178,44.4,-1.6,Don Bradshaw,23232,50.3,14344,39.4,11.0,Carol Anstey,2011,4.4,4347,11.9,-7.6,Sarah Parsons,,,,,,,,,,,,,537,1.2,1578,4.3,-3.2,Pamela Geiger,637,1.4,,,1.4,
10006,LPC,Joanne Thompson **,46051,16740,36.4,28681,62.3,16655,45.1,17.2,Joanne Thompson **,11941,25.9,6676,18.1,7.9,David Brazil,5172,11.2,12913,34.9,-23.7,Mary Shortall,,,,,,,159,0.3,,,0.3,Otis Crandell,,,719,1.9,,,98,0.2,,,0.2,
10007,CPC,Jonathan Rowe,40875,12,0,19593,47.9,15112,47.3,0.7,Anthony Germain,19605,48.0,12939,40.5,7.5,Jonathan Rowe,1677,4.1,2651,8.3,-4.2,Liam Ryan,,,,,,,,,,,,,,,1273,4.0,,,,,,,,
11001,LPC,Kent MacDonald,25261,4962,19.6,14404,57.0,10944,50.6,6.5,Kent MacDonald,9442,37.4,6693,30.9,6.5,James Aylward,505,2.0,2113,9.8,-7.8,Lynne Thiele,,,,,,,326,1.3,1040,4.8,-3.5,Maria Rodriguez,180,0.7,711,3.3,-2.6,Adam Harding,404,1.6,143,0.7,0.9,
11002,LPC,Sean Casey **,21089,7517,35.6,13656,64.8,8919,46.7,18.1,Sean Casey **,6139,29.1,5932,31.1,-1.9,Natalie Jameson,906,4.3,2048,10.7,-6.4,Joe Byrne,,,,,,,257,1.2,1832,9.6,-8.4,Daniel Cousins,131,0.6,369,1.9,-1.3,Robert Lucas,,,,,,
11003,LPC,Bobby Morrissey **,24008,2047,8.5,12466,51.9,9546,46.1,5.9,Bobby Morrissey **,10419,43.4,6406,30.9,12.5,Logan McLellan,585,2.4,1785,8.6,-6.2,Carol Rybinski,,,,,,,538,2.2,1954,9.4,-7.2,Ranald MacFarlane,,,1031,5.0,,,,,,,,
11004,LPC,Heath MacDonald **,26883,5639,21.0,15485,57.6,9637,41.9,15.7,Heath MacDonald **,9846,36.6,7642,33.2,3.4,Jamie Fox,371,1.4,1855,8.1,-6.7,Cassie Mackay,,,,,,,1049,3.9,3222,14.0,-10.1,Anna Keenan,132,0.5,636,2.8,-2.3,Hilda Baughan,,,2,,,
12001,CPC,Chris d'Entremont **,48298,533,1.1,22491,46.6,12334,30.7,15.9,Ronnie LeBlanc,23024,47.7,20636,51.4,-3.7,Chris d'Entremont **,1768,3.7,5091,12.7,-9.0,Ingrid Deon,,,,,,,583,1.2,,,1.2,Matthew Piggott,432,0.9,2125,5.3,-4.4,James Strange,,,,,,
12002,LPC,Jaime Battiste **,48278,4038,8.4,24908,51.6,19605,45.7,5.9,Jaime Battiste **,20870,43.2,15028,35.0,8.2,Allan MacMaster,1930,4.0,6273,14.6,-10.6,Joanna Clark,,,,,,,,,204,0.5,,,333,0.7,1691,3.9,-3.3,Ryan Smyth,237,0.5,114,0.3,0.2,
12003,LPC,Sean Fraser **,50213,4613,9.2,26078,51.9,17928,44.3,7.7,Sean Fraser **,21465,42.7,13352,33.0,9.8,Brycen Jenkins,1649,3.3,6507,16.1,-12.8,Jesiah MacDonald,,,,,,,455,0.9,619,1.5,-0.6,Gerald Romsa,331,0.7,1613,4.0,-3.3,Charlie MacEachern,235,0.5,485,1.2,-0.7,
12004,LPC,Alana Hirtle,49530,1228,2.5,23929,48.3,13822,34.2,14.1,Alana Hirtle,22701,45.8,18601,46.0,-0.2,Stephen Ellis **,1873,3.8,4984,12.3,-8.5,Larry Duchesne,,,,,,,694,1.4,1045,2.6,-1.2,Kelly-Ann Callaghan,333,0.7,1687,4.2,-3.5,Paul Church,,,278,0.7,,
